,序號,tool,category
1220,2220,C++,4
1221,2221,C,4
1221,2221,C++,4
1222,2222,Android,4
1222,2222,Git,4
1222,2222,C++,4
1222,2222,Matlab,4
1222,2222,Python,4
1224,2224,Linux,4
1224,2224,C++,4
1226,2227,C,4
1226,2227,C++,4
1229,2233,Linux,4
1229,2233,MacOS,4
1229,2233,Mac/Macintosh,4
1229,2233,Windows10,4
1229,2233,Github,4
1229,2233,Git,4
1229,2233,C,4
1229,2233,C#,4
1229,2233,C++,4
1229,2233,C++.Net,4
1229,2233,Python,4
1229,2233,VisualC#,4
1229,2233,VisualC++,4
1229,2233,VisualStudio,4
1229,2233,VisualStudio.net,4
1229,2233,ReactNative,4
1230,2234,Linux,4
1230,2234,Github,4
1230,2234,C++,4
1230,2234,Python,4
1230,2234,Node.js,4
1230,2234,VueJS,4
1233,2237,Git,4
1233,2237,C++,4
1233,2237,Python,4
1235,2239,Linux,4
1235,2239,Git,4
1235,2239,C,4
1235,2239,C++,4
1235,2239,Python,4
1241,2245,Linux,4
1241,2245,C++,4
1245,2249,Linux,4
1245,2249,C++,4
1245,2249,Python,4
1246,2250,Linux,4
1246,2250,C++,4
1247,2251,C,4
1247,2251,C++,4
1248,2252,Android,4
1248,2252,Git,4
1248,2252,C++,4
1248,2252,Matlab,4
1248,2252,Python,4
1258,2264,Linux,4
1258,2264,C,4
1258,2264,C++,4
1259,2265,Linux,4
1259,2265,Android,4
1259,2265,C,4
1259,2265,C++,4
1259,2265,Java,4
1260,2266,Linux,4
1260,2266,Android,4
1260,2266,C,4
1260,2266,C++,4
1260,2266,Java,4
1261,2267,Linux,4
1261,2267,Android,4
1261,2267,C,4
1261,2267,C++,4
1263,2269,C,4
1263,2269,C++,4
1266,2272,C,4
1266,2272,C++,4
1267,2273,Linux,4
1267,2273,Android,4
1267,2273,C,4
1267,2273,C++,4
1268,2274,Linux,4
1268,2274,Android,4
1268,2274,C,4
1268,2274,C++,4
1268,2274,Java,4
1269,2275,Linux,4
1269,2275,Android,4
1269,2275,C,4
1269,2275,C++,4
1269,2275,Java,4
1270,2276,Linux,4
1270,2276,Android,4
1270,2276,C,4
1270,2276,C++,4
1273,2279,C,4
1273,2279,C++,4
1274,2280,C,4
1274,2280,C++,4
1274,2280,Python,4
1275,2281,Linux,4
1275,2281,Android,4
1275,2281,C,4
1275,2281,C++,4
1275,2281,Java,4
1276,2282,Android,4
1276,2282,C,4
1276,2282,C++,4
1276,2282,Java,4
1276,2282,Python,4
1278,2285,C,4
1278,2285,C++,4
1278,2285,Java,4
1286,2294,Linux,4
1286,2294,C,4
1286,2294,C++,4
1288,2301,Linux,4
1288,2301,C,4
1288,2301,C#,4
1288,2301,C++,4
1288,2301,Python,4
1288,2301,Firmware,4
1293,2308,Linux,4
1293,2308,C,4
1293,2308,C++,4
1293,2308,Java,4
1293,2308,Python,4
1294,2309,Linux,4
1294,2309,C,4
1296,2311,Linux,4
1296,2311,C,4
1296,2311,C++,4
1296,2311,Java,4
1296,2311,Python,4
1298,2318,Linux,4
1298,2318,MCU,4
1298,2318,C,4
1298,2318,C++,4
1298,2318,Python,4
1298,2318,MySQL,4
1298,2318,TCP/IP,4
1298,2318,ARM,4
1298,2318,Firmware,4
1302,2322,Linux,4
1302,2322,MCU,4
1302,2322,C,4
1302,2322,C++,4
1302,2322,Python,4
1302,2322,MySQL,4
1302,2322,TCP/IP,4
1302,2322,ARM,4
1302,2322,Firmware,4
1306,2331,Linux,4
1306,2331,C,4
1306,2331,C#,4
1306,2331,C++,4
1306,2331,Python,4
1306,2331,Firmware,4
1311,2338,Linux,4
1311,2338,C,4
1311,2338,C++,4
1311,2338,Java,4
1311,2338,Python,4
1312,2339,Linux,4
1312,2339,C,4
1314,2341,Linux,4
1314,2341,C,4
1314,2341,C++,4
1314,2341,Java,4
1314,2341,Python,4
1316,2348,Linux,4
1316,2348,MCU,4
1316,2348,C,4
1316,2348,C++,4
1316,2348,Python,4
1316,2348,MySQL,4
1316,2348,TCP/IP,4
1316,2348,ARM,4
1316,2348,Firmware,4
1320,2352,Linux,4
1320,2352,MCU,4
1320,2352,C,4
1320,2352,C++,4
1320,2352,Python,4
1320,2352,MySQL,4
1320,2352,TCP/IP,4
1320,2352,ARM,4
1320,2352,Firmware,4
1324,2361,Linux,4
1324,2361,C,4
1324,2361,C#,4
1324,2361,C++,4
1324,2361,Python,4
1324,2361,Firmware,4
1329,2368,Linux,4
1329,2368,C,4
1329,2368,C++,4
1329,2368,Java,4
1329,2368,Python,4
1330,2369,Linux,4
1330,2369,C,4
