,序號,薪水,學歷要求
2851,2852,70000,大學
2855,2856,72500,大學
2864,2865,46500,專科
2865,2866,46500,專科
2873,2874,50000,大學
2879,2880,75000,大學
2880,2881,70000,大學
2881,2882,70000,大學
2885,2886,72500,大學
2894,2895,46500,專科
2895,2896,46500,專科
2903,2904,50000,大學
2911,2912,45000,大學
2912,2913,57500,專科
2913,2914,40000,專科
2915,2916,35000,不拘
2918,2919,55000,不拘
2922,2923,30450,大學
2923,2924,33000,專科
2924,2925,72500,大學
2925,2926,45000,大學
2926,2927,57500,專科
2927,2928,57500,專科
2930,2931,40000,專科
2937,2938,45000,專科
2955,2956,35000,不拘
2957,2958,80000,不拘
2958,2959,51000,高中
2960,2961,50000,大學
2965,2966,34000,大學
2966,2967,36500,大學
2967,2968,40000,專科
2968,2969,45000,大學
2969,2970,46500,大學
2970,2971,50500,專科
2971,2972,50500,專科
2974,2975,45000,專科
2975,2976,45000,專科
2981,2982,43000,大學
2986,2987,49750,專科
2987,2988,54000,專科
2988,2989,45000,大學
2989,2990,45000,專科
2990,2991,45000,專科
2991,2992,45000,大學
2992,2993,45000,大學
2993,2994,45000,大學
2994,2995,45000,大學
2995,2996,45000,專科
2997,2998,43500,大學
2999,3000,77500,大學
3000,3001,77500,碩士
3002,3003,77500,碩士
3003,3004,33500,大學
3004,3005,44000,大學
3005,3006,38000,大學
3006,3007,77500,碩士
3007,3008,60000,大學
3008,3009,50000,大學
3010,3011,58500,大學
3011,3012,55000,高中
3012,3013,64500,大學
3013,3014,52500,大學
3018,3019,36000,大學
3021,3022,60000,大學
3023,3024,37500,高中
3024,3025,42500,高中
3030,3031,31500,大學
3031,3032,76923,專科
3036,3037,40000,高中
3037,3038,43000,專科
3038,3039,43000,大學
3039,3040,43000,專科
3042,3043,50000,大學
3043,3044,34000,專科
3045,3046,33500,大學
3050,3051,50000,大學
3053,3054,41500,高中
3060,3061,45000,大學
3083,3084,41500,高中
3090,3091,45000,大學
3094,3095,40500,大學
3095,3096,45000,專科
3098,3099,40000,專科
3101,3102,65000,大學
3105,3106,60000,大學
3119,3120,42500,大學
3123,3124,35000,大學
3127,3128,32000,大學
3130,3131,34000,大學
3135,3136,60000,大學
3149,3150,42500,大學
3153,3154,35000,大學
3157,3158,32000,大學
3160,3161,34000,大學
3165,3166,60000,大學
3179,3180,42500,大學
3183,3184,35000,大學
3187,3188,32000,大學
3190,3191,34000,大學
3195,3196,60000,大學
3209,3210,42500,大學
3213,3214,35000,大學
3217,3218,32000,大學
3220,3221,34000,大學
3225,3226,60000,大學
3239,3240,42500,大學
3243,3244,35000,大學
3247,3248,32000,大學
3250,3251,34000,大學
3255,3256,60000,大學
3269,3270,42500,大學
3273,3274,35000,大學
3277,3278,32000,大學
3280,3281,34000,大學
3285,3286,60000,大學
3299,3300,42500,大學
3303,3304,35000,大學
3307,3308,32000,大學
3310,3311,34000,大學
3315,3316,60000,大學
3329,3330,42500,大學
3333,3334,35000,大學
3337,3338,32000,大學
3340,3341,34000,大學
3345,3346,60000,大學
3359,3360,42500,大學
3363,3364,35000,大學
3367,3368,32000,大學
3370,3371,34000,大學
3375,3376,50500,專科
3376,3377,76923,大學
3386,3387,50000,大學
3390,3391,47500,大學
3400,3401,70000,專科
3405,3406,50500,專科
3406,3407,76923,大學
3416,3417,50000,大學
3420,3421,47500,大學
3430,3431,70000,專科
3435,3436,50500,專科
3436,3437,76923,大學
3446,3447,50000,大學
3450,3451,47500,大學
3458,3459,105000,大學
3459,3460,33000,專科
3460,3461,35000,專科
3470,3471,54500,大學
3471,3472,54500,大學
3472,3473,54500,大學
3473,3474,54500,大學
3475,3476,54500,大學
3477,3478,50000,大學
3478,3479,35000,大學
3479,3480,35000,大學
3480,3481,50000,大學
3482,3483,35000,大學
3483,3484,35000,大學
3484,3485,35000,大學
3488,3489,105000,大學
3489,3490,33000,專科
3490,3491,35000,專科
3496,3497,34800,大學
3525,3526,35000,大學
3531,3532,42625,大學
3532,3533,55000,不拘
3533,3534,226200,專科
3535,3536,40000,專科
3536,3537,39500,碩士
3539,3540,39000,大學
3541,3542,33500,大學
